author,article
"Motoshi Saeki","A model-driven parser generator with reference resolution support"
"Yosuke Yamamoto","Property-preserving program refinement"
"Michael Goedicke","Property-preserving program refinement"
"Tim Menzies","Property-preserving program refinement"
"Motoshi Saeki","Property-preserving program refinement"
"Ana Filipa Nogueira","Predicting software complexity by means of evolutionary testing"
"Michael Goedicke","Predicting software complexity by means of evolutionary testing"
"Tim Menzies","Predicting software complexity by means of evolutionary testing"
"Motoshi Saeki","Predicting software complexity by means of evolutionary testing"
"Panita Meananeatra","Identifying refactoring sequences for improving software maintainability"
"Michael Goedicke","Identifying refactoring sequences for improving software maintainability"
"Tim Menzies","Identifying refactoring sequences for improving software maintainability"
"Motoshi Saeki","Identifying refactoring sequences for improving software maintainability"
"Lu Zhang","Round-up: runtime checking quasi linearizability of concurrent data structures"
"Arijit Chattopadhyay","Round-up: runtime checking quasi linearizability of concurrent data structures"
"Chao Wang","Round-up: runtime checking quasi linearizability of concurrent data structures"
"Ewen Denney","Round-up: runtime checking quasi linearizability of concurrent data structures"
"Tevfik Bultan","Round-up: runtime checking quasi linearizability of concurrent data structures"
"Andreas Zeller","Round-up: runtime checking quasi linearizability of concurrent data structures"
"Shao Jie Zhang","Constraint-based automatic symmetry detection"
"Jun Sun","Constraint-based automatic symmetry detection"
"Chengnian Suny","Constraint-based automatic symmetry detection"
"Yang Liuz","Constraint-based automatic symmetry detection"
"Junwei Ma","Constraint-based automatic symmetry detection"
"Jin Song Dong","Constraint-based automatic symmetry detection"
"Ewen Denney","Constraint-based automatic symmetry detection"
"Tevfik Bultan","Constraint-based automatic symmetry detection"
"Andreas Zeller","Constraint-based automatic symmetry detection"
"Yu Huang","Proving MCAPI executions are correct using SMT"
"Eric Mercer","Proving MCAPI executions are correct using SMT"
"Jay McCarthy","Proving MCAPI executions are correct using SMT"
"Ewen Denney","Proving MCAPI executions are correct using SMT"
"Tevfik Bultan","Proving MCAPI executions are correct using SMT"
"Andreas Zeller","Proving MCAPI executions are correct using SMT"
"Malay K. Ganai","Efficient data race prediction with incremental reasoning on time-stamped lock history"
"Ewen Denney","Efficient data race prediction with incremental reasoning on time-stamped lock history"
"Tevfik Bultan","Efficient data race prediction with incremental reasoning on time-stamped lock history"
"Andreas Zeller","Efficient data race prediction with incremental reasoning on time-stamped lock history"
"Yonghwi Kwon","PIEtrace: platform independent executable trace"
"Xiangyu Zhang","PIEtrace: platform independent executable trace"
"Dongyan Xu","PIEtrace: platform independent executable trace"
"Ewen Denney","PIEtrace: platform independent executable trace"
"Tevfik Bultan","PIEtrace: platform independent executable trace"
"Andreas Zeller","PIEtrace: platform independent executable trace"
"Vijay Krishna Palepu","Improving efficiency of dynamic analysis with dynamic dependence summaries"
"Guoqing Xu","Improving efficiency of dynamic analysis with dynamic dependence summaries"
"James A. Jones","Improving efficiency of dynamic analysis with dynamic dependence summaries"
"Ewen Denney","Improving efficiency of dynamic analysis with dynamic dependence summaries"
"Tevfik Bultan","Improving efficiency of dynamic analysis with dynamic dependence summaries"
"Andreas Zeller","Improving efficiency of dynamic analysis with dynamic dependence summaries"
"Patrick Meredith","Efficient parametric runtime verification with deterministic string rewriting"
"Grigore Rosu","Efficient parametric runtime verification with deterministic string rewriting"
"Ewen Denney","Efficient parametric runtime verification with deterministic string rewriting"
"Tevfik Bultan","Efficient parametric runtime verification with deterministic string rewriting"
"Andreas Zeller","Efficient parametric runtime verification with deterministic string rewriting"
"William N. Sumner","Identifying execution points for dynamic analyses"
"Xiangyu Zhang","Identifying execution points for dynamic analyses"
"Ewen Denney","Identifying execution points for dynamic analyses"
"Tevfik Bultan","Identifying execution points for dynamic analyses"
"Andreas Zeller","Identifying execution points for dynamic analyses"
"Lingming Zhang","Operator-based and random mutant selection: better together"
"Milos Gligoric","Operator-based and random mutant selection: better together"
"Darko Marinov","Operator-based and random mutant selection: better together"
"Sarfraz Khurshid","Operator-based and random mutant selection: better together"
"Ewen Denney","Operator-based and random mutant selection: better together"
"Tevfik Bultan","Operator-based and random mutant selection: better together"
"Andreas Zeller","Operator-based and random mutant selection: better together"
"Zhihong Xu","Testing properties of dataflow program operators"
"Martin Hirzel","Testing properties of dataflow program operators"
"Gregg Rothermel","Testing properties of dataflow program operators"
"Kun-Lung Wu","Testing properties of dataflow program operators"
"Ewen Denney","Testing properties of dataflow program operators"
"Tevfik Bultan","Testing properties of dataflow program operators"
"Andreas Zeller","Testing properties of dataflow program operators"
"Samira Tasharofi","Bita: Coverage-guided, automatic testing of actor programs"
"Michael Pradel","Bita: Coverage-guided, automatic testing of actor programs"
"Yu Lin","Bita: Coverage-guided, automatic testing of actor programs"
"Ralph Johnson","Bita: Coverage-guided, automatic testing of actor programs"
"Ewen Denney","Bita: Coverage-guided, automatic testing of actor programs"
"Tevfik Bultan","Bita: Coverage-guided, automatic testing of actor programs"
"Andreas Zeller","Bita: Coverage-guided, automatic testing of actor programs"
"Domenico Cotroneo","SABRINE: state-based robustness testing of operating systems"
"Domenico Di Leo","SABRINE: state-based robustness testing of operating systems"
"Francesco Fucci","SABRINE: state-based robustness testing of operating systems"
"Roberto Natella","SABRINE: state-based robustness testing of operating systems"
"Ewen Denney","SABRINE: state-based robustness testing of operating systems"
"Tevfik Bultan","SABRINE: state-based robustness testing of operating systems"
"Andreas Zeller","SABRINE: state-based robustness testing of operating systems"
"Chia Yuan Cho","BLITZ: compositional bounded model checking for real-world programs"
"Vijay D'Silva","BLITZ: compositional bounded model checking for real-world programs"
"Dawn Song","BLITZ: compositional bounded model checking for real-world programs"
"Ewen Denney","BLITZ: compositional bounded model checking for real-world programs"
"Tevfik Bultan","BLITZ: compositional bounded model checking for real-world programs"
"Andreas Zeller","BLITZ: compositional bounded model checking for real-world programs"
"Nicolás Rosner","Ranger: parallel analysis of alloy models by range partitioning"
